Datetime,Open,High,Low,Close,Volume
2025-01-02 00:00:00,1.10446,1.10494,1.10284,1.10336,88
2025-01-02 00:15:00,1.10348,1.10463,1.10336,1.10363,85
2025-01-02 00:30:00,1.10361,1.10465,1.10361,1.1046,501
2025-01-02 00:45:00,1.10459,1.10492,1.10403,1.10428,271
2025-01-02 01:00:00,1.10428,1.10552,1.10383,1.10537,804
2025-01-02 01:15:00,1.10536,1.10585,1.10534,1.1057,879
2025-01-02 01:30:00,1.10572,1.10645,1.10572,1.10643,940
2025-01-02 01:45:00,1.10645,1.10646,1.10623,1.10634,828
2025-01-02 02:00:00,1.10634,1.10653,1.10572,1.10589,853
2025-01-02 02:15:00,1.10587,1.10667,1.10582,1.10658,794
2025-01-02 02:30:00,1.10659,1.10671,1.1062,1.10628,617
2025-01-02 02:45:00,1.10629,1.10673,1.10618,1.10649,1086
2025-01-02 03:00:00,1.10646,1.10653,1.10607,1.10621,1756
2025-01-02 03:15:00,1.1062,1.10704,1.1061,1.1068,1616
2025-01-02 03:30:00,1.10682,1.10688,1.10623,1.1066,2031
2025-01-02 03:45:00,1.10661,1.10661,1.10581,1.10617,1635
2025-01-02 04:00:00,1.10616,1.10642,1.10573,1.10625,1470
2025-01-02 04:15:00,1.10626,1.10676,1.1061,1.10661,1267
2025-01-02 04:30:00,1.1066,1.10675,1.10644,1.1065,1302
2025-01-02 04:45:00,1.10652,1.10688,1.1063,1.10687,1357
2025-01-02 05:00:00,1.10688,1.10694,1.10631,1.10633,885
2025-01-02 05:15:00,1.10633,1.1069,1.10631,1.10672,815
2025-01-02 05:30:00,1.10674,1.10693,1.10668,1.10676,618
2025-01-02 05:45:00,1.10677,1.10689,1.10652,1.1066,609
2025-01-02 06:00:00,1.10659,1.10664,1.10633,1.10644,596
2025-01-02 06:15:00,1.10643,1.10667,1.10639,1.10658,633
2025-01-02 06:30:00,1.10657,1.10696,1.10648,1.10694,591
2025-01-02 06:45:00,1.10694,1.107,1.10672,1.10687,544
2025-01-02 07:00:00,1.10686,1.10701,1.10673,1.10679,788
2025-01-02 07:15:00,1.1068,1.10719,1.10678,1.10718,669
2025-01-02 07:30:00,1.10717,1.10726,1.10694,1.10723,599
2025-01-02 07:45:00,1.10723,1.10739,1.10709,1.10714,533
2025-01-02 08:00:00,1.10713,1.10719,1.10692,1.1071,825
2025-01-02 08:15:00,1.10709,1.10728,1.10696,1.10707,907
2025-01-02 08:30:00,1.10706,1.1072,1.10694,1.10698,851
2025-01-02 08:45:00,1.10699,1.1071,1.10692,1.10704,637
2025-01-02 09:00:00,1.10704,1.10744,1.10704,1.10725,1268
2025-01-02 09:15:00,1.10726,1.10735,1.10689,1.107,1047
2025-01-02 09:30:00,1.10699,1.10707,1.10659,1.10661,909
2025-01-02 09:45:00,1.10661,1.10669,1.10612,1.10627,1268
2025-01-02 10:00:00,1.10628,1.10677,1.1062,1.10655,1861
2025-01-02 10:15:00,1.10653,1.10679,1.10628,1.10634,1515
2025-01-02 10:30:00,1.10634,1.10656,1.10607,1.10644,1630
2025-01-02 10:45:00,1.10641,1.10656,1.10625,1.10637,1441
2025-01-02 11:00:00,1.10639,1.10642,1.1058,1.10585,1640
2025-01-02 11:15:00,1.10585,1.10602,1.10555,1.10598,1213
2025-01-02 11:30:00,1.10598,1.10662,1.10598,1.10652,1183
2025-01-02 11:45:00,1.10654,1.10683,1.10641,1.10657,931
2025-01-02 12:00:00,1.10656,1.10656,1.106,1.10636,1109
2025-01-02 12:15:00,1.10636,1.1068,1.10625,1.10672,1073
2025-01-02 12:30:00,1.10671,1.10692,1.10644,1.10662,1700
2025-01-02 12:45:00,1.10661,1.10695,1.10652,1.10685,2405
2025-01-02 13:00:00,1.10685,1.10715,1.10668,1.10711,1553
2025-01-02 13:15:00,1.1071,1.10754,1.10702,1.10743,1510
2025-01-02 13:30:00,1.10743,1.10763,1.10693,1.10704,1155
2025-01-02 13:45:00,1.10704,1.10743,1.10696,1.10712,1087
2025-01-02 14:00:00,1.10712,1.10728,1.10685,1.1072,1524
2025-01-02 14:15:00,1.10719,1.10733,1.10692,1.1071,1175
2025-01-02 14:30:00,1.1071,1.10729,1.10697,1.10727,1368
2025-01-02 14:45:00,1.10727,1.10733,1.10653,1.10703,1632
2025-01-02 15:00:00,1.10704,1.10738,1.10687,1.10729,1927
2025-01-02 15:15:00,1.10727,1.10733,1.10675,1.10689,2158
2025-01-02 15:30:00,1.10695,1.10726,1.10663,1.1071,3213
2025-01-02 15:45:00,1.10712,1.10764,1.10701,1.10763,2181
2025-01-02 16:00:00,1.10762,1.10825,1.1075,1.10818,2088
2025-01-02 16:15:00,1.10817,1.10825,1.10762,1.10772,2025
2025-01-02 16:30:00,1.1077,1.10806,1.10749,1.10784,2800
2025-01-02 16:45:00,1.10785,1.10827,1.10767,1.10796,2633
2025-01-02 17:00:00,1.10794,1.10832,1.10788,1.10825,2831
2025-01-02 17:15:00,1.10827,1.10833,1.10711,1.10726,2864
2025-01-02 17:30:00,1.10724,1.10785,1.1069,1.10779,3090
2025-01-02 17:45:00,1.1078,1.1085,1.10774,1.10835,3217
2025-01-02 18:00:00,1.10835,1.10861,1.10814,1.10817,4505
2025-01-02 18:15:00,1.10818,1.10848,1.10813,1.10833,2808
2025-01-02 18:30:00,1.10832,1.10881,1.10824,1.10859,2638
2025-01-02 18:45:00,1.10858,1.10871,1.10838,1.10847,2209
2025-01-02 19:00:00,1.10847,1.10877,1.10816,1.10863,2455
2025-01-02 19:15:00,1.10863,1.10879,1.10844,1.10849,2115
2025-01-02 19:30:00,1.10848,1.10869,1.10823,1.10839,2460
2025-01-02 19:45:00,1.10839,1.10859,1.10818,1.10857,2320
2025-01-02 20:00:00,1.10856,1.10871,1.10823,1.10838,2407
2025-01-02 20:15:00,1.1084,1.10848,1.10806,1.10823,1677
2025-01-02 20:30:00,1.10825,1.10834,1.10797,1.1082,1503
2025-01-02 20:45:00,1.10819,1.10824,1.10799,1.10815,1530
2025-01-02 21:00:00,1.10816,1.10842,1.10806,1.1084,1467
2025-01-02 21:15:00,1.10839,1.10841,1.10816,1.10818,1384
2025-01-02 21:30:00,1.10817,1.10844,1.10808,1.10825,1091
2025-01-02 21:45:00,1.10827,1.10848,1.10812,1.10841,1507
2025-01-02 22:00:00,1.10839,1.10869,1.10829,1.10864,1277
2025-01-02 22:15:00,1.10863,1.10881,1.10854,1.10866,961
2025-01-02 22:30:00,1.10867,1.1089,1.10859,1.10872,1477
2025-01-02 22:45:00,1.10873,1.10907,1.10871,1.10892,1458
2025-01-02 23:00:00,1.10893,1.10903,1.10869,1.10892,594
2025-01-02 23:15:00,1.1089,1.10894,1.10874,1.10882,459
2025-01-02 23:30:00,1.10883,1.10896,1.1086,1.10869,557
2025-01-02 23:45:00,1.10869,1.10879,1.10849,1.10864,505
2025-01-03 00:00:00,1.10859,1.10859,1.10606,1.10724,327
2025-01-03 00:15:00,1.10724,1.10889,1.10713,1.10828,1187
2025-01-03 00:30:00,1.10833,1.10876,1.10824,1.10855,201
2025-01-03 00:45:00,1.10856,1.10891,1.10767,1.10811,512
2025-01-03 01:00:00,1.10811,1.10898,1.10811,1.10888,432
2025-01-03 01:15:00,1.10891,1.10904,1.10884,1.10897,310
2025-01-03 01:30:00,1.10899,1.10912,1.10883,1.10883,191
